Age;Gender;Experience;PE1;PE2;PE3;PE4;PE5;EE1;EE2;EE3;EE4;HM1;HM2;HM3;HM4;HM5;BI1;BI2;BI3
28;2;1;5;5;5;5;5;5;5;5;5;4;5;4;5;5;5;4;4
35;2;1;4;4;5;3;3;4;3;3;3;3;4;4;4;3;5;5;5
36;1;1;5;5;5;3;3;5;5;5;5;5;5;3;3;3;4;4;4
53;2;1;3;3;3;2;2;4;4;4;4;3;3;2;2;2;3;3;3
49;2;1;5;4;4;4;4;3;4;4;4;4;4;2;4;4;4;3;4
41;2;3;5;5;4;5;5;5;5;5;5;5;5;4;5;5;5;5;5
45;1;1;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5
56;1;3;4;5;5;4;4;5;4;4;4;5;4;3;4;5;5;4;4
51;2;3;5;5;5;5;5;5;5;5;5;5;5;3;5;4;4;3;3
40;2;3;5;5;5;5;5;5;5;4;5;5;5;4;5;5;5;5;4
38;1;2;5;5;5;3;4;5;5;5;5;5;4;5;5;5;5;5;5
59;1;5;4;4;4;4;4;5;5;4;5;3;4;3;4;4;4;4;4
47;2;1;4;4;4;3;3;5;5;5;5;4;3;2;3;3;3;3;3
28;1;1;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
35;2;2;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
28;1;2;5;5;5;5;5;5;4;5;5;4;5;5;5;5;5;5;5
40;1;3;4;5;5;4;4;4;5;5;5;4;4;4;5;4;5;5;5
28;1;1;5;4;4;4;5;5;5;5;4;4;4;3;5;5;5;4;5
34;1;1;4;3;4;3;3;5;4;4;5;4;3;2;3;2;3;3;3
44;1;2;5;4;4;5;4;4;3;4;4;4;4;3;4;4;4;4;3
