Partecipante,Annual Lesson Plan,Uda Planning,Didactic Material,Lesson Planning,Total Planning
1,68.9903008937836,17.2475752234459,30.4539358615875,109.0189714431763,182.74234604835516
2,69.2871224880219,13.8574244976044,48.8241276741028,257.09728646278336,330.72700095176657
3,205.107578992844,41.0215157985688,43.5019583702087,259.6545073986052,473.58602714538597
4,134.684983491898,26.9369966983796,41.2744500637054,209.4790277481083,350.68151473999103
5,116.038905620575,23.207781124115,26.1707563400269,142.0969524383544,262.63209581375116
6,115.067506074905,23.013501214981,25.5267641544342,147.2081129550938,266.5724856853485
7,194.185616493225,38.837123298645,69.2897753715515,282.1521396636965,483.2670741081239
8,144.511313438416,16.0568126042684,43.9636814594269,240.73015141487122,389.2521088123326
9,334.52339887619,41.8154248595238,53.4804146289825,268.44610691070596,616.016044855118
10,178.798099517822,25.5425856454031,85.4039433002472,300.8511366844181,487.66463589668285
11,103.331555366516,25.832888841629,52.7073249816895,252.74593853950552,360.4395499229435
12,195.057260274887,39.0114520549774,45.0442259311676,233.4495475292202,435.49736332893326
13,118.483172178268,16.9261674540383,63.7941353321075,216.63142085075418,339.0153861045837
14,233.409867525101,46.6819735050202,43.4966266155243,212.4074912071226,455.934550523758
15,268.969699859619,33.6212124824524,52.3590590953827,239.9863643646242,512.5276877880096
16,199.861028432846,28.5515754904066,38.9301543235779,212.3674678802494,417.30836892128025
17,219.865785598755,43.973157119751,40.4421877861023,244.1030187606815,469.2628648281102
18,201.669598579407,40.3339197158814,46.4539182186127,193.18063235282858,398.32642340660084
19,293.208398103714,36.6510497629643,44.4520752429962,263.2864220142366,561.1278772354128
20,210.147825479507,35.0246375799178,100.204272985458,244.09075379371612,459.58820748329083
