Partecipante,Annual Lesson Plan,Uda Planning,Didactic Material,Lesson Total Generation,Total Activity Generation
1,23297,5392,6886,24906,59493
2,17229,3887,6504,24057,50690
3,20279,4167,7137,23858,54453
4,18384,3852,6373,22834,50394
5,19908,4123,6958,23171,53127
6,19768,4095,6979,50820,53704
7,21130,4323,8094,24415,56915
8,36635,4589,7062,24546,71739
9,24529,3606,7452,23513,58116
10,21788,3599,7286,22752,54351
11,13763,3668,6896,21106,44447
12,20289,4184,7386,24,54
13,24242,3873,6760,23141,57029
14,23268,4691,7642,25820,60308
15,28548,4060,7308,23761,62333
16,27560,4252,7254,24044,61767
17,27008,5285,7050,23943,62300
18,20663,4234,7167,23586,54665
19,25440,3725,6966,22568,57674
20,23652,4198,7176,24989,59009
