Partecipante,Annual Lesson Plan,Uda Planning,Didactic Material,Lesson Total Generation,Total Activity Generation
1,6617,1503,2693,9435,19182
2,8549,1550,2626,10752,22255
3,8039,1743,3258,10945,22351
4,8234,1523,3410,9662,21709
5,8838,1659,2563,9854,21592
6,8463,1673,2561,10158,21484
7,8459,1469,3404,10983,23140
8,14736,1474,3361,10752,29249
9,13841,1877,3024,10882,28085
10,11205,1582,2710,10359,24580
11,6553,1390,3289,9456,19591
12,8423,1472,2522,10705,21979
13,11412,1469,3293,9827,24864
14,8355,1578,3462,10704,22910
15,13964,1641,2624,10932,27705
16,11154,1405,2608,10538,24652
17,8163,1429,3169,10919,22645
18,8870,1614,3426,9490,22080
19,13779,1657,2361,9689,26091
20,10763,1752,3518,10792,25325
