Partecipante,Annual Lesson Plan_Input_Cost,Annual Lesson Plan_Output_Cost,Uda Planning_Input_Cost,Uda Planning_Output_Cost,Didactic Material_Input_Cost,Didactic Material_Output_Cost,Lesson Total Generation_Input_Cost,Lesson Total Generation_Output_Cost,Total Activity Generation_Input_Cost,Total Activity Generation_Output_Cost,Total_Input_Cost,Total_Output_Cost,Total_Cost
1,0.058242499999999996,0.06616999999999999,0.01348,0.01503,0.017215,0.026930000000000003,0.062265,0.09435,0.1487325,0.19182000000000002,0.299935,0.3943,0.6942349999999999
2,0.0430725,0.08549,0.0097175,0.0155,0.01626,0.02626,0.060142499999999995,0.10751999999999999,0.126725,0.22255,0.2559175,0.45731999999999995,0.7132375
3,0.05069749999999999,0.08038999999999999,0.0104175,0.01743,0.0178425,0.03258,0.059645000000000004,0.10944999999999999,0.1361325,0.22351,0.27473499999999995,0.46336,0.738095
4,0.04596,0.08234,0.00963,0.01523,0.015932500000000002,0.0341,0.057085,0.09662000000000001,0.125985,0.21709,0.2545925,0.44538,0.6999725
5,0.049769999999999995,0.08838,0.0103075,0.01659,0.017395,0.02563,0.0579275,0.09854,0.1328175,0.21592,0.2682175,0.44506,0.7132775
6,0.049420000000000006,0.08463,0.0102375,0.016730000000000002,0.0174475,0.02561,0.12705,0.10158,0.13426,0.21484,0.338415,0.44339,0.7818050000000001
7,0.052825,0.08459,0.0108075,0.01469,0.020235000000000003,0.03404,0.061037499999999995,0.10983,0.1422875,0.2314,0.2871925,0.47454999999999997,0.7617425
8,0.0915875,0.14736000000000002,0.0114725,0.01474,0.017655,0.03361,0.061364999999999996,0.10751999999999999,0.1793475,0.29249,0.3614275,0.59572,0.9571475
9,0.061322499999999995,0.13840999999999998,0.009014999999999999,0.01877,0.01863,0.030240000000000003,0.0587825,0.10882,0.14529,0.28085,0.29303999999999997,0.5770899999999999,0.8701299999999998
10,0.05447,0.11205,0.0089975,0.01582,0.018215,0.027100000000000003,0.05688,0.10359,0.13587749999999998,0.24580000000000002,0.27443999999999996,0.50436,0.7787999999999999
11,0.0344075,0.06553,0.00917,0.0139,0.017240000000000002,0.032889999999999996,0.052765,0.09456,0.11111750000000001,0.19591,0.2247,0.40279,0.62749
12,0.050722500000000004,0.08423,0.01046,0.01472,0.018465000000000002,0.02522,6e-05,0.10704999999999999,0.000135,0.21978999999999999,0.07984250000000001,0.45100999999999997,0.5308525
13,0.060605,0.11412,0.0096825,0.01469,0.016900000000000002,0.03293,0.057852499999999994,0.09827000000000001,0.14257250000000002,0.24864,0.28761250000000005,0.50865,0.7962625000000001
14,0.05817,0.08355,0.0117275,0.01578,0.019105,0.03462,0.06455,0.10704,0.15077000000000002,0.2291,0.3043225,0.47009,0.7744125
15,0.07137,0.13964000000000001,0.010150000000000001,0.01641,0.01827,0.02624,0.059402500000000004,0.10932,0.15583249999999998,0.27705,0.315025,0.56866,0.883685
16,0.0689,0.11154,0.010629999999999999,0.01405,0.018135,0.02608,0.06011,0.10538,0.1544175,0.24652000000000002,0.3121925,0.5035700000000001,0.8157625000000001
17,0.06752,0.08163000000000001,0.013212499999999999,0.014289999999999999,0.017625,0.031689999999999996,0.059857499999999994,0.10919,0.15575,0.22644999999999998,0.313965,0.46325,0.777215
18,0.0516575,0.0887,0.010585,0.01614,0.0179175,0.03426,0.058965,0.0949,0.1366625,0.2208,0.27578749999999996,0.4548,0.7305875
19,0.0636,0.13779,0.0093125,0.01657,0.017415,0.02361,0.056420000000000005,0.09689,0.144185,0.26091,0.29093250000000004,0.53577,0.8267025
20,0.05913,0.10763,0.010495,0.01752,0.01794,0.035179999999999996,0.0624725,0.10791999999999999,0.1475225,0.25325,0.29756,0.5215,0.8190599999999999
