Partecipante,Total_Input_Token_Cost,Total_Output_Token_Cost,Total_Cost
1,0.299935,0.3943,0.6942349999999999
2,0.2559175,0.45731999999999995,0.7132375
3,0.27473499999999995,0.46336,0.738095
4,0.2545925,0.44538,0.6999725
5,0.2682175,0.44506,0.7132775
6,0.338415,0.44339,0.7818050000000001
7,0.2871925,0.47454999999999997,0.7617425
8,0.3614275,0.59572,0.9571475
9,0.29303999999999997,0.5770899999999999,0.8701299999999998
10,0.27443999999999996,0.50436,0.7787999999999999
11,0.2247,0.40279,0.62749
12,0.07984250000000001,0.45100999999999997,0.5308525
13,0.28761250000000005,0.50865,0.7962625000000001
14,0.3043225,0.47009,0.7744125
15,0.315025,0.56866,0.883685
16,0.3121925,0.5035700000000001,0.8157625000000001
17,0.313965,0.46325,0.777215
18,0.27578749999999996,0.4548,0.7305875
19,0.29093250000000004,0.53577,0.8267025
20,0.29756,0.5215,0.8190599999999999
