ID;Genere;Età;Da quanti anni insegna informatica? ;Qual è il suo livello di istruzione più alto? ;Quali corsi di aggiornamento o formazione ha frequentato negli ultimi 3 anni?  (Selezionare tutte le opzioni applicabili);Quanto spesso utilizza strumenti digitali per la preparazione delle lezioni? ;"Con quale livello di competenza utilizza i seguenti strumenti digitali per la didattica?  (Indicare su una scala da 1 = ""Nessuna competenza"" a 5 = ""Esperto"")  [Software di presentazione (es. PowerPoint)]";"Con quale livello di competenza utilizza i seguenti strumenti digitali per la didattica?  (Indicare su una scala da 1 = ""Nessuna competenza"" a 5 = ""Esperto"")  [Strumenti di collaborazione online (es. Google Classroom, Microsoft Teams)]";"Con quale livello di competenza utilizza i seguenti strumenti digitali per la didattica?  (Indicare su una scala da 1 = ""Nessuna competenza"" a 5 = ""Esperto"")  [Strumenti per la creazione di contenuti interattivi (es. Kahoot, Padlet)]";"Con quale livello di competenza utilizza i seguenti strumenti digitali per la didattica?  (Indicare su una scala da 1 = ""Nessuna competenza"" a 5 = ""Esperto"")  [Software di creazione di materiali didattici]";"Con quale livello di competenza utilizza i seguenti strumenti digitali per la didattica?  (Indicare su una scala da 1 = ""Nessuna competenza"" a 5 = ""Esperto"")  [Strumenti basati su intelligenza artificiale (es. LLM, chatbot)]";Ha mai utilizzato strumenti di intelligenza artificiale (come ChatGPT o altri LLM) per preparare materiali didattici? ;Quanto ritiene utile l’introduzione di strumenti LLM per migliorare la qualità dei materiali didattici? ;In che misura ritiene che gli strumenti digitali possano influire sulla qualità dei materiali didattici? ;Quanto è confidente nell’apprendere e utilizzare nuovi strumenti digitali per la didattica? ;Quali sono le principali difficoltà che ha incontrato o prevede di incontrare nell’utilizzo di strumenti LLM per la didattica? ;Commento generale
1;Donna;23 - 35;Meno di 1 anno;Dottorato;Corsi di aggiornamento didattico generali;Sempre;5;5;5;2;3;Sì, qualche volta;4;4;4;La difficoltà di spiegare ciò che vorrei (ovvero creare un buon prompt) per ottenere il risultato desiderato con una buona qualità e in poco tempo;Mi capita spesso di pensare a delle attività stimolanti per i miei studenti (ad esempio,  giochi didattici)  che purtroppo necessitano di tanto tempo ed effort per essere realizzati in concreto (ad esempio, i materiali didattici per il gioco sono difficili da preparare). Mi risulta facile immaginare tali materiali, ma difficile / dispendioso in termini di tempo prepararli. Un assistente digitale sarebbe l'ideale, ma anche in questo caso ho difficoltà a spiegare ciò che vorrei e come lo vorrei.
2;Uomo;35 - 47;Meno di 1 anno;Master post laurea;"Corsi di aggiornamento didattico generali;Formazione sull’uso di strumenti digitali per la didattica";Spesso;3;3;2;2;1;Sì, spesso;5;5;5;Difficile trovare le giuste stringhe per far svolgere il compito desiderato al ia.;Il livello di bontà dei contenuti, ancora non prescinde dal livello di preparazione del docente, troppe allucinazioni nei risultati ottenuti. 
3;Uomo;23 - 35;Meno di 1 anno;Laurea magistrale;Nessun corso di aggiornamento recente;Spesso;3;3;3;3;3;Sì, spesso;4;4;4;connessione ad internet;
4;Donna;23 - 35;Meno di 1 anno;Laurea magistrale;Corsi di aggiornamento didattico generali;Spesso;3;3;2;2;3;Sì, qualche volta;4;4;3;le difficoltà potrebbero essere la PADRONANZA dello strumento oltre che la COMPRENSIONE nell'utilizzo.;gli strumenti di generazione automatica di materiali didattici rappresentano una risorsa innovativa e potenzialmente trasformativa per l'insegnamento, tuttavia l'uso consapevole è fondamentale e questi strumenti potrebbero essere considerati alleati del docente e di certo non sostituti!
5;Donna;48-60;Meno di 1 anno;Laure vecchio ordinamento ;Nessun corso di aggiornamento recente;Sempre;3;3;1;2;1;No, mai;3;3;1;Difficoltà nell'acquisizione della  pratica ;
6;Donna;35 - 47;Meno di 1 anno;Laurea magistrale;Nessun corso di aggiornamento recente;Mai;1;1;1;1;1;Sì, qualche volta;4;4;4;Nessuna ;
7;Donna;35 - 47;4 - 6 anni;Laurea magistrale;"Corsi di aggiornamento didattico generali;Formazione sull’uso di strumenti digitali per la didattica";Sempre;5;5;5;2;2;Sì, qualche volta;5;5;5;La necessità di verifica dei contenuti prodotti, per evitare errori ;
8;Uomo;35 - 47;Meno di 1 anno;Master Universitario di II Livello;Formazione sull’uso di strumenti digitali per la didattica;Occasionalmente;5;5;1;1;3;Sì, qualche volta;5;5;5;Informazioni a volte inaffidabili;
9;Uomo;48-60;4 - 6 anni;Laurea Triennale;"Corsi di aggiornamento didattico generali;Corsi di aggiornamento specifici in informatica;Formazione sull’uso di strumenti digitali per la didattica;Corsi sull’intelligenza artificiale e strumenti LLM";Spesso;5;5;3;3;4;Sì, spesso;5;5;5;"Una delle principali difficoltà che prevedo nell'utilizzo degli strumenti basati su LLM riguarda lo scetticismo diffuso nel contesto scolastico, sia da parte di alcuni colleghi che da parte delle famiglie, i quali spesso percepiscono l’intelligenza artificiale più come una “scorciatoia” che come un’opportunità didattica. Questa percezione può ostacolare l’integrazione efficace di tali strumenti nei percorsi educativi.
In particolare, tra gli studenti si osserva una tendenza a usare l’intelligenza artificiale non come supporto all’apprendimento, ma come giustificazione alla rinuncia allo studio. In modo analogo a quanto avvenuto con l’introduzione delle calcolatrici (che alcuni hanno interpretato come motivo per non imparare a fare i calcoli a mente), oggi alcuni studenti interpretano la disponibilità di strumenti come ChatGPT come un’alternativa all’apprendimento piuttosto che come un complemento.
Questa visione distorta rischia di indebolire la motivazione allo studio autonomo, favorendo un atteggiamento passivo verso il sapere. È quindi fondamentale che l’uso didattico degli LLM sia accompagnato da un’adeguata educazione critica, affinché gli studenti comprendano il valore dello studio e sappiano distinguere tra “delegare un compito” e “comprendere un concetto”.

";
10;Donna;48-60;4 - 6 anni;Laurea specialistica in informatica ;"Corsi di aggiornamento didattico generali;Corsi di aggiornamento specifici in informatica;Formazione sull’uso di strumenti digitali per la didattica";Occasionalmente;2;2;2;1;1;Sì, qualche volta;4;4;5;Interpretazione dei contenuti rispetto alla classe ;Vedremo!!!
11;Donna;35 - 47;4 - 6 anni;Dottorato;Formazione sull’uso di strumenti digitali per la didattica;Spesso;5;5;3;4;4;Sì, qualche volta;4;4;5;Di non riuscire a rendere i contenuti completamente calzanti alla classe;Nessuno
12;Uomo;35 - 47;1 -3 anni;Laurea magistrale;"Corsi di aggiornamento didattico generali;Formazione sull’uso di strumenti digitali per la didattica;Corsi sull’intelligenza artificiale e strumenti LLM";Spesso;5;5;4;4;2;Sì, spesso;4;4;5;Preparazione inadeguata di una parte del corpo docenti;Può rappresentare per la scuola uno strumento valido per stimolare l'apprendimento in contesti scolastici con studenti vivaci o svogliati, inoltre in ambito del sostegno rappresenta una soluzione che può permettere a tutti gli insegnanti di interagire con gli studenti con disabilità. In tal caso sarebbe opportuno arricchire il programma che ho utilizzato durante l'esperimento di alcuni documenti come il Pei, che può permettere di avere una visione completa dell'alunno, ma anche del contesto classe, e procedere alla stesura di interventi mirati.
13;Uomo;48-60;Oltre 10 anni;MASTER I LIVELLO;"Corsi di aggiornamento specifici in informatica;Formazione sull’uso di strumenti digitali per la didattica";Sempre;4;4;3;3;4;Sì, spesso;4;4;5;LA GRANDE QUANTITA' DI ALTERNATIVE;
14;Uomo;23 - 35;Meno di 1 anno;Laurea magistrale;"Corsi di aggiornamento didattico generali;Formazione sull’uso di strumenti digitali per la didattica;Corsi sull’intelligenza artificiale e strumenti LLM";Sempre;5;5;4;4;5;Sì, spesso;5;3;5;Creare prompt adatti per un risultato discreto.;
15;Donna;35 - 47;Meno di 1 anno;Laurea magistrale;Formazione sull’uso di strumenti digitali per la didattica;Mai;5;4;1;1;3;No, mai;3;3;5;mai usati;
16;Donna;35 - 47;1 -3 anni;Laurea magistrale;Nessun corso di aggiornamento recente;Occasionalmente;4;4;1;1;1;Sì, qualche volta;2;4;4;La mancata conoscenza approfondita di quest'ultimi;
17;Uomo;23 - 35;1 -3 anni;diploma di scuola superiore;Nessun corso di aggiornamento recente;Spesso;3;2;1;3;5;Sì, spesso;5;5;5;Avere una risposta con materiale utilizzabile e conforme a quanto richiesto;
18;Uomo;35 - 47;4 - 6 anni;Laurea magistrale;Nessun corso di aggiornamento recente;Spesso;4;4;3;3;4;Sì, spesso;4;4;4;nessuna;
19;Uomo;23 - 35;Meno di 1 anno;Laurea magistrale;Corsi di aggiornamento specifici in informatica;Raramente;3;3;2;3;2;No, mai;3;3;3;Quelle volte che ho provato ad utilizzare tali strumenti ho ottenuto anche risultati inesatti presenti talmente bene che sembravano esatti, ciò potrebbe trarre in inganno ;Sono aperto a testare questo strumento perché credo nel lavoro altrui
20;Uomo;35 - 47;1 -3 anni;Laurea magistrale;Corsi di aggiornamento didattico generali;Spesso;3;3;3;4;3;Sì, spesso;4;5;5;il problema principale è che spesso questi tipi di sistemi non sono specifici, sono troppo generici e non risolvono quindi il particolare;
