ID;Quanti anni hai?;Qual è il tuo genere? ;Trovo che l'uso dello strumento di supporto alla lezione sia utile per il mio lavoro didattico;Utilizzare questo strumento per la preparazione delle lezioni aumenta la mia produttività;Usare questo strumento mi aiuta a svolgere le attività didattiche più rapidamente ;Usare questo strumento aumenta le probabilità di migliorare i risultati del mio insegnamento;L'uso di questo strumento migliorerebbe la qualità del lavoro che faccio come docente ;Imparare ad usare questo strumento per supportare il mio insegnamento è facile per me ;La mia interazione con questo strumento è chiara e comprensibile ;Trovo che questo strumento sia facile da usare per il mio lavoro didattico ;È facile per me diventare esperto nell'uso di questo strumento per il mio insegnamento ;Trovo che lo strumento sia flessibile nell'interazione durante la mia preparazione delle lezioni ;Usare questo strumento rende più facile svolgere il mio lavoro da docente ;Usare questo strumento per il mio insegnamento rende le lezioni più coinvolgenti;Usare questo strumento per la preparazione delle lezioni è piacevole ;Utilizzare questo strumento arricchisce la mia esperienza di insegnamento in modi nuovi e innovativi;Ho intenzione di continuare a usare questo strumento per il mio lavoro didattico in futuro ;Proverò sempre a utilizzare questo strumento per la preparazione delle lezioni ;Pianifico di continuare a usare frequentemente questo strumento per il mio insegnamento ;Commento generale
1;28;Femminile;5;5;5;5;5;5;5;5;5;4;5;4;5;5;5;4;4;Credo che questo strumento possa essere molto utile per docenti alle prime esperienze,  in quanto permette di avere subito una prima bozza di progettazione disciplinare solamente inserendo il contesto classe. Infatti, la difficoltà più grande è, a mio avviso, trovare una base da cui partire. È molto più facile modificare a proprio piacimento una progettazione già esistente, piuttosto che produrne una da zero. Per questo, lo strumento può supportare notevolmente i docenti che hanno bisogno di un canovaccio su cui costruire la propria progettazione personalizzata. 
2;36;Maschile;5;5;5;3;3;5;5;5;5;5;5;3;3;3;4;4;4;
3;28;Maschile;5;5;4;4;5;5;5;5;5;5;5;5;5;5;4;4;5;
4;35;Femminile;4;4;5;3;3;4;3;3;3;3;4;4;4;3;5;5;5;la progettazione dell'esperimento è ben strutturata  e dimostra un chiaro utilizzo della piattaforma
5;53;Femminile;3;3;3;2;2;4;4;4;4;3;3;2;2;2;3;3;3;
6;49;Femminile;5;4;4;4;4;3;4;4;4;4;4;2;4;4;4;3;4;
7;41;Femminile;5;5;4;5;5;5;5;5;5;5;5;4;5;5;5;5;5;
8;45;Maschile;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;
9;56;Maschile;4;5;5;4;4;5;4;4;4;5;4;3;4;5;5;4;4;"Lo strumento per la progettazione didattica rappresenta un valido punto di partenza, ma allo stato attuale richiede una verifica accurata dei contenuti generati. Nonostante l’apparente correttezza formale, si riscontrano talvolta imprecisioni o allucinazioni informative che impongono un controllo attento da parte del docente. Questo riduce in parte il risparmio di tempo promesso. Inoltre, nella simulazione proposta in PowerPoint si notano alcune incongruenze, come una durata complessiva non in linea con la programmazione oraria settimanale, ripetizioni inutili nelle slide e mancanza di riferimenti concreti alla valutazione. Detto ciò, se mi sarà data l’opportunità, continuerò volentieri a utilizzare il tool: credo nel suo potenziale e ritengo che il mio feedback possa contribuire a migliorarne la stabilità e a risolvere i bug ancora presenti.

"
10;51;Femminile;5;5;5;5;5;5;5;5;5;5;5;3;5;4;4;3;3;La difficoltà nel creare compiti di realtà e lezioni dinamiche e personalizzate agli umori ed alle esigenze del gruppo classe non possono essere preimpostati, quindi si evidenze l'intervento da parte del docente sul materiale prodotto, in tal senso.
11;40;Femminile;5;5;5;5;5;5;5;4;5;5;5;4;5;5;5;5;4;Se potessi, lo userei sicuramente
12;38;Maschile;5;5;5;3;4;5;5;5;5;5;4;5;5;5;5;5;5;
13;59;Maschile;4;4;4;4;4;5;5;4;5;3;4;3;4;4;4;4;4;
14;28;Maschile;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;
15;47;Femminile;4;4;4;3;3;5;5;5;5;4;3;2;3;3;3;3;3;
16;35;Femminile;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;Lo strumento soprattutto nella parte di generazione delle verifiche e di generazione degli obiettivi formativi è molto utile perchè velocizza molto il lavoro che faccio
17;28;Maschile;5;5;5;5;5;5;4;5;5;4;5;5;5;5;5;5;5;
18;40;Maschile;4;5;5;4;4;4;5;5;5;4;4;4;5;4;5;5;5;
19;34;Maschile;4;3;4;3;3;5;4;4;5;4;3;2;3;2;3;3;3;Userò sicuramente questo strumento nei primi anni di insegnamento perché suggerisce molto bene le unità didattiche ed è di aiuto per molte cose non tanto facili da ricordare 
20;44;Maschile;5;4;4;5;4;4;3;4;4;4;4;3;4;4;4;4;3;
